Level,Top cm,Bottom cm,Pic Label,INTERVAL,Seq,Treatment,Area,Numbers,Circ,AR
Level15,15,14,H_15-14.csv,Younger Dryas,H,H2O2,0.000158264,4,0.730122553,1.665287599
Level16,14,13,H_14-13.csv,Younger Dryas,H,H2O2,0.000574949,6,0.670740014,3.734390931
Level17,13,12,H_13-12.csv,Younger Dryas,H,H2O2,0.003908722,12,0.562878017,5.025508011
Level18,12,11,H_12-11.csv,Younger Dryas,H,H2O2,0.000381353,1,0.359574998,5.174006714
Level19,45,44,H_45-44.csv,GI-1,H,H2O2,0.000417269,1,0.490713725,3.89997798
Level20,44,43,H_44-43.csv,GI-1,H,H2O2,1.75E-05,1,0.958858644,1.102681456
Level21,43,42,H_43-42.csv,GI-1,H,H2O2,0.00011096,1,0.184790237,4.575507634
Level22,42,41,n/a,GI-1,H,H2O2,0,0,0,0
Level23,41,40,H_41-40.csv,GI-1,H,H2O2,0.029619685,109,0.448552749,5.263016513
Level24,40,39,H_40-39.csv,GI-1,H,H2O2,0.003166453,26,0.358168908,6.261358812
Level25,39,38,H_39-38.csv,GI-1,H,H2O2,9.93E-06,1,0.587365947,2.329874274
Level26,38,37,H_38-37.csv,GI-1,H,H2O2,2.74E-05,1,0.75877854,1.654789746
Level27,37,36,n/a,GI-1,H,H2O2,0,0,0,0
Level1,-19,-18,I_-19-18.csv,Holocene,I,H2O2,8.76E-05,1,0.271019527,8.383023013
Level2,-18,-17,I_-18-17.csv,Holocene,I,H2O2,0.000995138,7,0.502963545,4.727734047
Level3,-17,-16,I_-17-16.csv,Holocene,I,H2O2,4.38E-06,1,0.396669112,5.04661785
Level4,-16,-15,I_-16-15.csv,Holocene,I,H2O2,0.000852349,13,0.474572391,4.560420092
Level5,-15,-14,I_-15-14.csv,Holocene,I,H2O2,0.109334139,540,0.456847938,5.38903464
Level6,-14,-13,I_-14-13.csv,Holocene,I,H2O2,0.001962244,16,0.383815268,7.107561183
Level7,-13,-12,I_-13-12.csv,Holocene,I,H2O2,4.73E-05,2,0.865945074,1.438102524
Level8,-12,-11,n/a,Holocene,I,H2O2,0,0,0,0
Level9,-11,-10,I_-11-10.csv,Holocene,I,H2O2,0.004297958,18,0.460612241,5.0924398
Level10,20,19,I_20-19.csv,Younger Dryas,I,H2O2,0.000421649,3,0.258766862,6.230613188
Level11,19,18,n/a,Younger Dryas,I,H2O2,0,0,0,0
Level12,18,17,I_18-17.csv,Younger Dryas,I,H2O2,0.000805923,2,0.278162258,7.360257119
Level13,17,16,I_17-16.csv,Younger Dryas,I,H2O2,0.000401208,6,0.774100788,1.622648218
Level14,16,15,I_16-15.csv,Younger Dryas,I,H2O2,8.15E-05,2,0.37435682,4.454701714
Level15,15,14,I_15-14.csv,Younger Dryas,I,H2O2,4.26E-05,2,0.961955768,1.27153952
Level16,14,13,I_14-13.csv,Younger Dryas,I,H2O2,0.001474603,22,0.69269149,2.492513391
Level17,13,12,I_13-12.csv,Younger Dryas,I,H2O2,0.00100127,10,0.614980841,4.10641633
Level18,12,11,I_12-11.csv,Younger Dryas,I,H2O2,1.14E-05,2,0.829950164,1.859327526
Level19,45,44,n/a,GI-1,I,H2O2,0.00E+00,0,0,0
Level20,44,43,n/a,GI-1,I,H2O2,0.00E+00,0,0,0
Level21,43,42,n/a,GI-1,I,H2O2,0.00E+00,0,0,0
Level22,42,41,I_42-41.csv,GI-1,I,H2O2,0.000125852,2,0.240978709,9.050613053
